index_label,0,1
1,32370.0,3.0
2,30852.0,4.0
3,23285.0,6.0
4,23019.0,6.0
5,16113.0,11.0
6,13105.0,15.0
7,10743.0,21.0
8,10398.0,22.0
9,9884.0,24.0
10,7777.0,35.0
11,7320.0,38.0
12,6694.0,44.0
13,6594.0,44.0
14,6287.0,48.0
15,5174.0,64.0
16,5161.0,64.0
17,5120.0,65.0
18,5005.0,67.0
19,4909.0,69.0
20,4515.0,79.0
21,4306.0,84.0
22,3825.0,100.0
23,3670.0,106.0
24,3620.0,108.0
25,3611.0,109.0
26,3581.0,110.0
27,3504.0,113.0
28,3479.0,114.0
29,3474.0,114.0
30,3414.0,117.0
31,3364.0,120.0
32,3338.0,121.0
33,3335.0,121.0
34,3329.0,122.0
35,3293.0,123.0
36,3206.0,128.0
37,3195.0,129.0
38,3182.0,130.0
39,3180.0,130.0
40,3179.0,130.0
41,3115.0,134.0
42,2753.0,156.0
43,2682.0,162.0
44,2670.0,163.0
45,2624.0,167.0
46,2614.0,167.0
47,2510.0,177.0
48,2489.0,179.0
49,2473.0,180.0
50,2336.0,194.0
51,2318.0,196.0
52,2285.0,200.0
53,2187.0,212.0
54,2162.0,215.0
55,2159.0,215.0
56,2152.0,216.0
57,2109.0,222.0
58,2109.0,222.0
59,2066.0,227.0
60,2053.0,229.0
61,2048.0,230.0
62,2041.0,231.0
63,2038.0,231.0
64,1902.0,251.0
65,1896.0,252.0
66,1884.0,255.0
67,1882.0,255.0
68,1867.0,257.0
69,1845.0,261.0
70,1830.0,264.0
71,1815.0,266.0
72,1814.0,266.0
73,1808.0,267.0
74,1789.0,270.0
75,1780.0,272.0
76,1778.0,273.0
77,1747.0,279.0
78,1724.0,283.0
79,1718.0,285.0
80,1716.0,285.0
81,1702.0,287.0
82,1701.0,287.0
83,1697.0,288.0
84,1692.0,289.0
85,1664.0,295.0
86,1619.0,305.0
87,1619.0,305.0
88,1605.0,308.0
89,1595.0,311.0
90,1551.0,322.0
91,1532.0,327.0
92,1530.0,328.0
93,1514.0,332.0
94,1500.0,336.0
95,1462.0,348.0
96,1461.0,348.0
97,1451.0,350.0
98,1445.0,352.0
99,1445.0,352.0
100,1424.0,359.0
101,1424.0,359.0
102,1423.0,359.0
103,1418.0,360.0
104,1414.0,361.0
105,1390.0,369.0
106,1386.0,370.0
107,1369.0,376.0
108,1365.0,378.0
109,1354.0,381.0
110,1341.0,386.0
111,1340.0,387.0
112,1334.0,390.0
113,1292.0,404.0
114,1280.0,409.0
115,1278.0,409.0
116,1275.0,410.0
117,1267.0,414.0
118,1263.0,416.0
119,1229.0,430.0
120,1228.0,431.0
121,1217.0,435.0
122,1215.0,436.0
123,1209.0,439.0
124,1207.0,440.0
125,1204.0,441.0
126,1202.0,442.0
127,1195.0,444.0
128,1183.0,450.0
129,1166.0,459.0
130,1149.0,466.0
131,1135.0,473.0
132,1110.0,486.0
133,1106.0,488.0
134,1101.0,491.0
135,1098.0,493.0
136,1093.0,496.0
137,1093.0,496.0
138,1073.0,507.0
139,1068.0,510.0
140,1046.0,523.0
141,1040.0,526.0
142,1039.0,527.0
143,1038.0,527.0
144,1033.0,530.0
145,1033.0,530.0
146,1032.0,531.0
147,1028.0,534.0
148,1027.0,535.0
149,1026.0,535.0
150,1022.0,538.0
151,1019.0,539.0
152,1019.0,540.0
153,1016.0,541.0
154,1009.0,546.0
155,1001.0,550.0
156,9986.0,552.0
157,9874.0,560.0
158,9824.0,563.0
159,9748.0,568.0
160,9678.0,573.0
161,9659.0,575.0
162,9631.0,576.0
163,9553.0,582.0
164,9468.0,588.0
165,9349.0,596.0
166,9337.0,597.0
167,9216.0,605.0
168,9097.0,615.0
169,8876.0,632.0
170,8840.0,635.0
171,8812.0,637.0
172,8696.0,647.0
173,8591.0,655.0
174,8446.0,667.0
175,8402.0,671.0
176,8393.0,672.0
177,8388.0,672.0
178,8362.0,675.0
179,8335.0,677.0
180,8310.0,680.0
181,8280.0,682.0
182,8276.0,683.0
183,8183.0,693.0
184,8102.0,701.0
185,8023.0,709.0
186,7996.0,711.0
187,7995.0,712.0
188,7927.0,718.0
189,7803.0,731.0
190,7721.0,739.0
191,7699.0,742.0
192,7690.0,742.0
193,7657.0,746.0
194,7655.0,747.0
195,7531.0,759.0
196,7491.0,764.0
197,7479.0,766.0
198,7430.0,772.0
199,7418.0,773.0
200,7415.0,773.0
201,7412.0,774.0
202,7345.0,781.0
203,7342.0,782.0
204,7284.0,789.0
205,7263.0,791.0
206,7078.0,814.0
207,6954.0,831.0
208,6746.0,860.0
209,6736.0,862.0
210,6732.0,862.0
211,6727.0,863.0
212,6638.0,876.0
213,6583.0,883.0
214,6543.0,889.0
215,6533.0,890.0
216,6532.0,891.0
217,6467.0,901.0
218,6437.0,906.0
219,6423.0,908.0
220,6392.0,912.0
221,6353.0,918.0
222,6353.0,919.0
223,6349.0,919.0
224,6276.0,931.0
225,6248.0,935.0
226,6220.0,939.0
227,6216.0,940.0
228,6196.0,943.0
229,6183.0,946.0
230,6156.0,951.0
231,6116.0,958.0
232,6099.0,960.0
233,6057.0,967.0
234,5982.0,980.0
235,5973.0,982.0
236,5925.0,990.0
237,5922.0,991.0
238,5898.0,995.0
239,5896.0,995.0
240,5847.0,1004.0
241,5787.0,1016.0
242,5732.0,1027.0
243,5721.0,1029.0
244,5707.0,1033.0
245,5701.0,1034.0
246,5672.0,1040.0
247,5666.0,1042.0
248,5649.0,1045.0
249,5646.0,1046.0
250,5641.0,1047.0
251,5640.0,1047.0
252,5623.0,1051.0
